id,depot_lat,depot_long,drive_limit,duty_limit,start_date,end_date,weekday,start_time,end_time,off_duty
13,44.8849345,-93.2131232,10,15,1/1/2022,,7,3:30,15:00,FALSE
14,44.8849345,-93.2131232,10,15,1/1/2022,,1,10:30,22:30,TRUE
14,44.8849345,-93.2131232,10,15,1/1/2022,,2,10:30,22:30,TRUE
14,44.8849345,-93.2131232,10,15,1/1/2022,,3,10:30,22:30,TRUE
14,44.8849345,-93.2131232,10,15,1/1/2022,,4,10:30,22:30,TRUE
14,44.8849345,-93.2131232,10,15,1/1/2022,,5,10:30,22:30,TRUE
14,44.8849345,-93.2131232,10,15,1/1/2022,,6,10:30,22:30,FALSE
14,44.8849345,-93.2131232,10,15,1/1/2022,,7,10:30,22:30,FALSE
15,44.8849345,-93.2131232,10,15,1/1/2022,,1,10:30,22:30,TRUE
15,44.8849345,-93.2131232,10,15,1/1/2022,,2,10:30,22:30,TRUE
15,44.8849345,-93.2131232,10,15,1/1/2022,,3,10:30,22:30,TRUE
15,44.8849345,-93.2131232,10,15,1/1/2022,,4,10:30,22:30,TRUE
15,44.8849345,-93.2131232,10,15,1/1/2022,,5,10:30,22:30,TRUE
15,44.8849345,-93.2131232,10,15,1/1/2022,,6,10:30,22:30,FALSE
15,44.8849345,-93.2131232,10,15,1/1/2022,,7,10:30,22:30,FALSE
16,44.8849345,-93.2131232,10,15,1/1/2022,,1,23:00,11:00,TRUE
16,44.8849345,-93.2131232,10,15,1/1/2022,,2,23:00,11:00,TRUE
16,44.8849345,-93.2131232,10,15,1/1/2022,,3,23:00,11:00,TRUE
16,44.8849345,-93.2131232,10,15,1/1/2022,,4,23:00,11:00,TRUE
16,44.8849345,-93.2131232,10,15,1/1/2022,,5,23:00,11:00,TRUE
16,44.8849345,-93.2131232,10,15,1/1/2022,,6,23:00,11:00,FALSE
16,44.8849345,-93.2131232,10,15,1/1/2022,,7,23:00,11:00,FALSE
17,44.8849345,-93.2131232,10,15,1/1/2022,,1,23:00,11:00,TRUE
17,44.8849345,-93.2131232,10,15,1/1/2022,,2,23:00,11:00,TRUE
17,44.8849345,-93.2131232,10,15,1/1/2022,,3,23:00,11:00,TRUE
17,44.8849345,-93.2131232,10,15,1/1/2022,,4,23:00,11:00,TRUE
